50 Cent|60 Cent|1975-07-06
a-ha|a-hoi|
A. Edward Sutherland|A. Edwin Sufferhand|1895-01-05 – 1973-12-31
A.J. Cook|J.A. Cork|1978-07-22
A.V. Rockwell|V.A. Rawkwell|19xx
Aamir Khan|Aadil Kaul|1965-03-14
Aamito Lagum|Amira Lagun|1992-12-03
Aaron Blaise|Arron Blier|1968-02-17
Aaron Davis|Arron Davids|
Aaron Eckhart|Arron Erhard|1968-03-12
Aaron Hilmer|Arron Hillmar|1999
Aaron Horvath|Arron Horban|1980
Aaron Kingsley Adetola|Arden Kingsley Adelita|
Aaron Kissiov|Alan Kussinov|2004-05-17
Aaron Kwok|Alan Kwun|1965-10-26
Aaron Nee|Arron Ney|
Aaron Norris|Arron Nourish|1951-11-23
Aaron Paul|Alan Peter|1979-08-27
Aaron Rosenberg|Arron Rosental|1912-08-26 – 1979-09-01
Aaron Seltzer|Alan Salzer|1974-01-12
Aaron Sorkin|Arden Sorkel|1961-06-09
Aaron Spelling|Arron Spilling|1923-04-22 – 2006-06-23
Aaron Stanford|Arron Stanley|1976-12-27
Aaron Taylor-Johnson|Alan Saylor-Jameson|1990-06-13
Aaron Yoo|Arron Yook|1979-05-12
ABBA|ABAB|
Abbey Lee|Alby Ley|1987-06-12
Abbi Jacobson|Ally Josephsen|1984-02-01
Abbie Cornish|Abby Conwish|1982-08-07
Abby Mann|Alby Mensch|1927-12-01 – 2008-03-25
Abby Ryder Fortson|Addie Rina Fortin|2008-03-14
Abel Jacquin|Alain Jacquart|1893-07-14 – 1968-05-12
Abigail Breslin|Adelaide Bresson|1996-04-14
Abigail Spencer|Adelaide Stancer|1981-08-04
AC/DC|DC-/-AC|
Achim Hammer|Anton Hamper|1940-12-12
Adain Bradley|Aden Bedford|
Adam Arkin|Adrien Archen|1956-08-19
Adam Baldwin|Alan Boltwin|1962-02-27
Adam Bessa|Alan Besso|1992
Adam Brody|Alan Brooding|1979-12-15
Adam Brooks|Alan Brucks|1956-09-03
Adam Campbell|Andrew Cantwell|1980-08-19
Adam DeVine|Alan DeVale|1983-11-07
Adam Driver|Alan Drover|1983-11-19
Adam Faison|Adrien Raison|
Adam G. Sevani|Aiden G. Sevrone|1992-06-29
Adam Goldberg|Alan Goldbug|1970-10-25
Adam James|Alan Jones|1972-09-09
Adam Marcus|Alan Marcos|1968
Adam McKay|Alan McKee|1968-04-17
Adam Nee|Alan Ney|1981-07-19
Adam Pascal|Alan Pasquale|1970-10-25
Adam Robitel|Andrew Rovettel|1978-05-26
Adam Rodriguez|Andrew Ramirez|1975-04-02
Adam Sandler|Alan Slander|1966-09-09
Adam Scott|Adrien Scotch|1973-04-03
Adam Shankman|Alan Shankson|1964-11-27
Adam West|Alan East|1928-09-19 – 2017-06-09
Adam Wingard|Andrew Winghart|1982-12-03
Adeel Akhtar|Amir Akhden|1980-09-18
Adelaide Clemens|Adrienne Clovis|1989-11-30
Adelaide Kane|Abigail Kain|1990-08-09
Adelle Roberts|Adele Rotbarts|
Adewale Akinnuoye-Agbaje|Adebayo Akedoyin-Agbaje|1967-08-22
Adi Carauleanu|Aren Caragiale|1957-03-08
Adil El Arbi|Adeel Al Anbi|1988-06-30
Aditya Chopra|Adithan Chakra|1971-05-21
Adnan Maral|Arman Miral|1968-07-01
Adolfo Celi|Alberto Cerri|1922-07-27 – 1986-02-19
Adolfo Gordon Quiñones|Amado Guido Quintana|1955-05-11 – 2020-12-29
Adolph Caesar|Adolf Kaisar|1933-12-05 – 1986-03-06
Adolphe Menjou|Alfredo Monjeux|1890-02-18 – 1963-10-29
Adria Arjona|Adele Arvona|1992-04-25
Adrian Grenier|Adrien Grandier|1976-07-10
Adrian Grünberg|Adrien Grönburg|1970-02
Adrian Hoven|Arian Hufen|1922-05-18 – 1981-04-28
Adrian Lyne|Adrien Styne|1941-03-04
Adrian Maben|Adrien Moeben|1942-06-30 – 2025-10-28
Adrian Paul|Arian Peter|1959-05-29
Adrian Zmed|Adrien Zned|1954-03-14
Adriana Altaras|Adrienne Alteris|1960-04-06
Adriana Asti|Alessia Asto|1933-04-30 – 2025-07-31
Adriana Barraza|Ariana Barrado|1956-03-05
Adrianne Palicki|Ariana Pevlicki|1983-05-06
Adriano Celentano|Alderano Gelantino|1938-01-06
Adriano Giannini|Alderano Giannone|1971-05-10
Adrien Brody|Adrian Brooding|1973-04-14
Adrienne Barbeau|Andréanne Barbier|1945-06-11
Adrienne Corri|Adelaide Carrin|1931-11-13 – 2016-03-13
Adrienne Gessner|Adelaide Gossner|1896-07-23 – 1987-06-23
Adrienne King|Adriana Koenig|1960-07-21
Adèle Exarchopoulos|Amèle Exandropoulos|1993-11-22
Adèle Haenel|Angèle Harnel|1989-02-11
Aerosmith|Aeroswiff|
Agame Malembo-Emene|Andre Malino|
Agatha Christie|Agatha Kissme|1890-09-15 – 1976-01-12
Agathe de La Fontaine|Agatha du Fleuvement|1972-03-27
Agathe Rousselle|Agatha Rounelle|1988-06-14
Agnes Moorehead|Astrid Moorehand|1900-12-06 – 1974-04-30
Agnes Windeck|Antje Windkorn|1888-03-27 – 1975-09-28
Agneta Eckemyr|Agnete Eckelund|1950-07-02 – 2018-12-29
Agnetha Fältskog|Agnetta Fältsklou|1950-04-05
Agnieszka Holland|Alicja Helgoland|1948-11-28
Agnès Soral|Agathe Sorin|1960-06-08
Agnès Varda|Axelle Varla|1928-05-30 – 2019-03-29
Agostina Belli|Arnoldina Bello|1947-04-13
Ahmed Agrama|Ahmad Amagra|1955-10-28
Ahmed Malek|Ahmad Mallok|1995-09-29
Ahna Capri|Asha Capran|1944-07-06 – 2010-08-19
Ahney Her|Ahnai Heu|1992-07-13
Ai Hashimoto|Airi Hasumato|1996-01-12
Ai Kago|Airi Kanda|1988-02-07
Ai Maeda|Airi Maeba|1983-10-04
Aida Turturro|Ayida Torturra|1962-09-25
Aidan Gillen|Aiden Gyllen|1968-04-24
Aidan Quinn|Adrien Quinch|1959-03-08
Aileen Quinn|Ariel Quinch|1971-06-28
Aimee Brooks|Ayleen Brucks|1974-11-19
Aimee Lou Wood|Amy Lou Woolf|1994-02-03
Aimee Teegarden|Ayleen Teagarten|1989-10-10
Aimi Satsukawa|Airi Sasagawa|1988-08-20
Aimé Clariond|Andre Clarienne|1894-05-10 – 1960-01-01
Airi Taira|Ai Takara|1984-12-12
Aisling Bea|Aislinn Bia|1984-03-16
Aitana Sánchez-Gijón|Ainara Sancho-Giron|1968-11-05
Aja Naomi King|Asha Naomi Koenig|1985-01-11
Ajay Devgn|Ajai Devran|1969-04-02
Ajay Naidu|Ajai Nayudu|1972-02-12
Aki Kaurismäki|Ari Kaurisänen|1957-04-04
Aki Maeda|Ako Maeba|1985-07-11
Akihiko Hirata|Akihiro Hirate|1927-12-16 – 1984-07-25
Akiko Wakabayashi|Akiha Wakitashiro|1939-12-13
